name,original_text,translated_text
PINSTRESS_INTERIOR_GROUND_POST,How grand! To face an opponent with a bit of energy.&lt;page&gt;You&#8217;re a skilled one clear enough. I hope my training has granted some insight.,"Betapa hebatnya! Berhadapan dengan lawan yang memiliki sedikit energi.&lt;page&gt;Kamu memang ahli, jelas sekali. Aku harap latihan ini telah memberikan sedikit wawasan."
PINSTRESS_INTERIOR_GROUND_MEET,"So rude! To raise a Pinstress from their deep meditation!&lt;page&gt;You carry on with that kind of brash behaviour and you&#8217;re likely to be stuck quick through!&lt;hpage&gt;I&#8217;m surprised to find a bug of sound mind alive in such an inhospitable place. You are a warrior learned in the blades of this land?&lt;page&gt;Aye! A Pinstress! Your needle there might fit you fair, strange as it is&#8217;n all, but it&#8217;s the pin that&#8217;s the glorious weapon of Pharloom.&lt;page&gt;Given I&#8217;m now awake, maybe you&#8217;d fancy a little training? Care to test the power of a Pinstress? Might be even this old master could show you a thing or two.","Betapa kasarnya! Mengganggu seorang Pinstress dari meditasi dalamnya!&lt;page&gt;Jika kamu terus bertindak seenaknya seperti itu, kamu akan segera mendapat balasannya!&lt;hpage&gt;Aku terkejut menemukan makhluk berakal sehat masih hidup di tempat yang begitu tidak ramah ini. Kamu adalah seorang pejuang yang mahir dalam senjata tajam di tanah ini?&lt;page&gt;Ya! Seorang Pinstress! Jarummu mungkin cocok untukmu, meski aneh, tapi jarum itulah senjata mulia Pharloom.&lt;page&gt;Karena aku sekarang sudah bangun, mungkin kamu tertarik untuk berlatih sedikit? Mau mencoba kekuatan seorang Pinstress? Mungkin bahkan master tua ini bisa menunjukkan padamu satu atau dua hal."
PINSTRESS_INTERIOR_GROUND_TALK_ACT_3,"It&#8217;s a right long time since I&#8217;ve felt so vigorous. All those dulled pilgrims were useless for testing my talents.&lt;hpage&gt;Your blade proved an impressive challenge, Pinstress. I&#8217;ve travelled the length of this kingdom, yet the strength and skills hidden throughout continue to surprise me.&lt;page&gt;You bear your own strange strengths, needle bug. If only we&#8217;d met in less troubled times, just think of all we could have learned from one another!","Sudah lama sekali sejak aku merasa sepenuh tenaga seperti ini. Semua peziarah yang tumpul itu tak berguna untuk menguji kemampuanku.&lt;hpage&gt;Pedangmu terbukti menjadi tantangan yang mengesankan, Pinstress. Aku telah menjelajahi seluruh kerajaan ini, namun kekuatan dan keterampilan yang tersembunyi di mana-mana terus membuatku terkejut.&lt;page&gt;Kau memiliki kekuatan anehmu sendiri, serangga jarum. Seandainya kita bertemu di masa yang lebih tenang, bayangkan semua yang bisa kita pelajari satu sama lain!"
PINSTRESS_INTERIOR_GROUND_ACCEPTED,"Bold choice, needle bug. Let&#8217;s get our shells a&#8217;shaking!","Pilihan berani, serangga jarum. Ayo kita goyang cangkang kita!"
PINSTRESS_INTERIOR_GROUND_PROMPT,Train with Pinstress?,Latihan dengan Pinstress?
WORLD_EDGE,"&lt;hpage&gt;These sands mark the edge of Pharloom&#8217;s territory. I was brought to this land through the caverns beyond.&lt;hpage&gt;Something at this kingdom&#8217;s height still hungers for me. Were I to flee now, I would again be pursued.&lt;hpage&gt;Until I find the source of that hunger, and slay it, I will not be free. ","&lt;hpage&gt;Pasir-pasir ini menandai batas wilayah Pharloom. Aku dibawa ke tanah ini melalui gua-gua di sebelah sana.&lt;hpage&gt;Ada sesuatu di puncak kerajaan ini yang masih menginginkan aku. Jika aku melarikan diri sekarang, aku akan dikejar lagi.&lt;hpage&gt;Sampai aku menemukan sumber nafsu itu dan membunuhnya, aku tidak akan bebas. "
PINSTRESS_NPC_TALK_01,PINSTRESS_NPC_TALK_01,PINSTRESS_NPC_PERCAKAPAN_01
PINSTRESS_INTERIOR_STAND_MEET,"Back again, needle bug? Surely you&#8217;ve more important places calling than these sandy steps?&lt;hpage&gt;I shan&#8217;t stay long, Pinstress. Your home and your skills offer a sense of safety rare about these lands.","Kembali lagi, serangga jarum? Pasti ada tempat yang lebih penting yang memanggilmu daripada tangga berpasir ini?&lt;hpage&gt;Aku tidak akan tinggal lama, Pinstress. Rumahmu dan keahlianmu memberikan rasa aman yang langka di tanah-tanah ini."
STEEL_SENTINEL_QUEST_REPEAT,Find the vassal... pale It. Return them to us... Save us both from the Masters&#8217; wrath.,Temukan vasal... pucat. Kembalikan mereka kepada kami... Selamatkan kami berdua dari amarah Para Tuan.
PINSTRESS_FINAL_MEET_RETURN,"Needle bug! With those black quakes, Pharloom&#8217;s finale is fast arriving.&lt;page&gt;Raise your blade! Let&#8217;s see at least one of us end true to our nature!","Serangga jarum! Dengan gempa hitam itu, akhir dari Pharloom segera tiba.&lt;halaman&gt;Angkat pedangmu! Mari kita lihat setidaknya salah satu dari kita berakhir sesuai dengan sifat kita yang sebenarnya!"
